Credit Card,2024,1,9888.5900000000,16
Credit Card,2024,2,6316.6600000000,14
Credit Card,2024,3,6362.5700000000,16
Credit Card,2024,4,9490.5600000000,15
Credit Card,2024,5,5508.4900000000,15
Credit Card,2024,6,5115.7200000000,15
Credit Card,2024,7,3819.7300000000,15
Credit Card,2024,8,4668.5400000000,14
Debit Card,2024,1,1789.8400000000,5
Debit Card,2024,2,1284.8100000000,5
Debit Card,2024,3,1009.7600000000,5
Debit Card,2024,4,769.8000000000,5
Debit Card,2024,5,829.8800000000,5
Debit Card,2024,6,579.4500000000,5
Debit Card,2024,7,1095.4800000000,6
Debit Card,2024,8,769.9100000000,4
PayPal,2024,1,2869.8900000000,10
PayPal,2024,2,3201.9000000000,10
PayPal,2024,3,5476.9100000000,10
PayPal,2024,4,2191.3300000000,10
PayPal,2024,5,2117.1200000000,11
PayPal,2024,6,1689.3800000000,10
PayPal,2024,7,1881.8700000000,10
PayPal,2024,8,1839.6600000000,9
