Asia,2024,1,3369.6700000000,10
Asia,2024,2,4278.6800000000,10
Asia,2024,3,2619.6000000000,10
Asia,2024,4,3329.6000000000,10
Asia,2024,5,1989.5400000000,10
Asia,2024,6,1945.3800000000,10
Asia,2024,7,2744.3600000000,11
Asia,2024,8,2178.6200000000,9
Europe,2024,1,2869.8900000000,10
Europe,2024,2,3201.9000000000,10
Europe,2024,3,5476.9100000000,10
Europe,2024,4,2191.3300000000,10
Europe,2024,5,2117.1200000000,11
Europe,2024,6,1689.3800000000,10
Europe,2024,7,1881.8700000000,10
Europe,2024,8,1839.6600000000,9
North America,2024,1,8308.7600000000,11
North America,2024,2,3322.7900000000,9
North America,2024,3,4752.7300000000,11
North America,2024,4,6930.7600000000,10
North America,2024,5,4348.8300000000,10
North America,2024,6,3749.7900000000,10
North America,2024,7,2170.8500000000,10
North America,2024,8,3259.8300000000,9
